"Month","Block","Plot","Treatment","Ambrosia.artemisiifolia","Bulbostylis.spp.","Cyperus.spp.","Dichondra.spp.","Digitaria.spp.","Erigeron.canadensis","Gamochaeta.spp.","Oldenlandia.corymbosa","Lepidium.virginicum","Linaria.canadensis","Oenothera.laciniata","Oxalis.corniculata","Paspalum.setaceum","Portulaca.spp.","Richardia.spp.","Rumex.hastatulus","Geranium.carolinianum","Trifolium.repens","Triodanis.perfoliata","Number_of_Samples","Plot_ID","Unique_ID"
"Pre-Treatment",2,5,"Preemergent",1,3.25,19.25,0.75,10,15.25,1.5,0.5,4.25,12.25,11.75,15.75,2.25,8,15.25,7.5,0,2,8,4,"2.5","Pre-Treatment-2-5"
"Pre-Treatment",2,6,"Fill Sand",4.25,11.5,8,1,18,8,1,2.5,5.25,20.25,11.75,7.25,1.75,14,8.5,10,1.25,4.75,2.25,4,"2.6","Pre-Treatment-2-6"
"Pre-Treatment",2,7,"Control",3.75,19.5,11.25,2.75,0.75,6.25,1,3.25,5.25,11.5,11.5,13,1.5,10.5,11.5,7,8.25,6.25,2.5,4,"2.7","Pre-Treatment-2-7"
"Pre-Treatment",2,8,"Fill Sand",6.75,16,18,2.25,9.5,12.5,1,2.75,4.5,21.25,11,17,2.75,8,18.25,0.75,5.25,3.25,3,4,"2.8","Pre-Treatment-2-8"
"Pre-Treatment",2,9,"Control",2.5,16,16.75,3.5,7.5,7.5,1.5,1.5,4.75,25.25,14.75,17.75,3.25,15.75,13.75,2.5,4,2.25,4.25,4,"2.9","Pre-Treatment-2-9"
"Pre-Treatment",2,10,"Fill Sand",1.5,16.75,16.5,2,18,15.75,0.25,2.25,4.25,8,13.5,12,2.5,6.5,12,4,0.75,5.5,6.75,4,"2.10","Pre-Treatment-2-10"
"Pre-Treatment",2,11,"Soil Inversion",2,18.75,16,2.5,8.5,15.25,0.25,4.25,3.75,14.25,8.5,9.5,1.5,2.5,10.25,2.75,2.5,4,6.5,4,"2.11","Pre-Treatment-2-11"
"Pre-Treatment",2,12,"Preemergent",0,15.25,13.25,2.5,7.75,9.5,1.25,2.5,2.25,20,6.25,12.5,3,7.75,16,4.5,1.5,6.5,6,4,"2.12","Pre-Treatment-2-12"
"Post-Treatment",1,1,"Soil Inversion",0,18,0,0,0,1.25,0.5,0,0,19.75,0,0.25,0,0,0,0,0,0,0,4,"1.1","Post-Treatment-1-1"
"Post-Treatment",1,2,"Control",2.75,14.25,2,2,0,12.75,1.25,2,3.5,18.25,17.75,13.5,1.25,12,14,5.75,1.5,0.75,2,4,"1.2","Post-Treatment-1-2"
"Post-Treatment",1,3,"Soil Inversion",0,17.75,0,2.75,1.25,4.25,0.5,0,0,13.25,0,5.75,0,0,3.5,0,0,0,0,4,"1.3","Post-Treatment-1-3"
"Post-Treatment",1,4,"Control",1.5,10.5,7.5,2.75,9.5,10,1,2.25,3,15.75,14.25,12.25,1,15.25,10.75,7.75,2.25,6.75,6.75,4,"1.4","Post-Treatment-1-4"
"Post-Treatment",1,5,"Preemergent",2.25,16,12,3.5,10.5,10.25,1.5,4.25,3,14.25,6,13.25,2.75,13.75,15,1,2.25,6,0.75,4,"1.5","Post-Treatment-1-5"
"Post-Treatment",1,6,"Fill Sand",0,6,4.5,0,1.75,5.75,1.5,2.75,2.5,13.5,9,3.75,0,2.5,3.25,1.25,2.25,0,0,4,"1.6","Post-Treatment-1-6"
"Post-Treatment",1,7,"Fill Sand",0,8.5,1.5,0,1.75,0,0.75,0.75,3.5,15.75,11.5,2.5,0.75,4.25,5,5,0,0,0,4,"1.7","Post-Treatment-1-7"
"Post-Treatment",1,8,"Fill Sand",0,6.75,3,0,0,4,0.75,2,4.25,6,7,3.5,1.5,2.5,3,2.5,2.25,0,0,4,"1.8","Post-Treatment-1-8"
"Post-Treatment",1,9,"Control",2,21.25,7,3.25,7.25,7.75,1,2.5,2,21,5.75,8.25,1.5,14.25,9,5.75,2.75,6.75,16,4,"1.9","Post-Treatment-1-9"
"Post-Treatment",1,10,"Preemergent",2.75,22.25,12,3.5,10,14.25,1.5,3.25,2,14,12.5,16.25,2,10.75,13.25,2.5,2.75,9,7.75,4,"1.10","Post-Treatment-1-10"
"Post-Treatment",1,11,"Soil Inversion",0,10.25,0,1.75,1,1,1.25,0,0,20,0,21,0,0,2.5,2,0,0,0,4,"1.11","Post-Treatment-1-11"
"Post-Treatment",1,12,"Preemergent",2.5,14.75,9.75,2.25,12.5,16,2.25,1.75,4.75,9.5,15,9.75,2,11.5,13,7,3,5,3.75,4,"1.12","Post-Treatment-1-12"
"Post-Treatment",2,1,"Soil Inversion",0,17.25,0,2.75,0.25,4.25,0,0,0,16,0,14,0,0,1.5,0.5,0,0,0,4,"2.1","Post-Treatment-2-1"
"Post-Treatment",2,2,"Control",3,20,12,3.5,16,17.75,1.25,2.25,2.5,23.25,10.5,17.75,2.5,8.5,18,3.75,4,7.25,13.5,4,"2.2","Post-Treatment-2-2"
"Post-Treatment",2,3,"Soil Inversion",0,11,0,2.5,0.5,1.25,0,0,0,23,0,5.5,0,0,1.75,4,0,0,0,4,"2.3","Post-Treatment-2-3"
"Post-Treatment",2,4,"Preemergent",3,12,14.75,2.25,20.25,15.75,1.5,2.25,4.25,13.75,14.75,10,1.5,20,9.75,5.5,2,3,9.25,4,"2.4","Post-Treatment-2-4"
"Post-Treatment",2,5,"Preemergent",2.25,16.75,11,3,12,12.5,1.5,4,3.25,17.25,9.75,10.75,1.25,15.75,16.5,2.25,4.75,3.75,3,4,"2.5","Post-Treatment-2-5"
"Post-Treatment",2,6,"Fill Sand",0,7.5,1.75,0,1.75,4.5,1.25,3.25,3.5,16,4,5.5,1.75,5,3.25,0,2.75,0,0.5,4,"2.6","Post-Treatment-2-6"
"Post-Treatment",2,7,"Control",0,10.5,18.25,0.25,7.25,19,1.25,2.25,3.5,19.75,11,18.5,3.5,12.5,12.25,0,2,2.5,7,4,"2.7","Post-Treatment-2-7"
"Post-Treatment",2,8,"Fill Sand",0,4.25,3.25,0,0,1.5,0.5,2.25,3,5,9.5,2.5,0.75,6,2,0.25,1,0,0,4,"2.8","Post-Treatment-2-8"
"Post-Treatment",2,9,"Control",4.75,15.25,2.75,1,7,3.5,1,2.75,6.5,23.5,12.75,9.25,2.5,5,18,2.5,0.25,0,3.5,4,"2.9","Post-Treatment-2-9"
"Post-Treatment",2,10,"Fill Sand",0,9,4,0,3.5,1.25,1.5,4,4.5,6,12.25,1.25,0,0.75,4.75,2,0,0,0,4,"2.10","Post-Treatment-2-10"
"Post-Treatment",2,11,"Soil Inversion",0,14.75,0,2.75,0.5,9.5,0,0,0,17.5,0,6.25,0,0,0,0,0,0,0,4,"2.11","Post-Treatment-2-11"
"Post-Treatment",2,12,"Preemergent",2.5,16,16.75,2.5,14.5,12,1.25,4,3.75,19,15.5,10.25,2.25,16.5,15.75,2,5,2.5,5,4,"2.12","Post-Treatment-2-12"
