Year,Month,Block,Plot,ID,Quadrat,Treatment,Species,Coverage
2024,June,1,1,1-1,6,Soil Inversion,Oenethra laciniata,4
2024,June,1,1,1-1,6,Soil Inversion,Oxalis corniculata,0
2024,June,1,1,1-1,6,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,6,Soil Inversion,Paspalum setaceum,0
2024,June,1,1,1-1,6,Soil Inversion,Richardia spp.,3
2024,June,1,1,1-1,7,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,7,Soil Inversion,Bare Ground,0
2024,June,1,1,1-1,7,Soil Inversion,Bidens alba,1
2024,June,1,1,1-1,7,Soil Inversion,Cynodon dactylon,5
2024,June,1,1,1-1,7,Soil Inversion,Cyperus spp.,2
2024,June,1,1,1-1,7,Soil Inversion,Erigeron canadensis,0
2024,June,1,1,1-1,7,Soil Inversion,Indigofera hirsuta,0
2024,June,1,1,1-1,7,Soil Inversion,Lactuca canadensis,0
2024,June,1,1,1-1,7,Soil Inversion,Oenethra laciniata,5
2024,June,1,1,1-1,7,Soil Inversion,Oxalis corniculata,2
2024,June,1,1,1-1,7,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,7,Soil Inversion,Paspalum setaceum,0
2024,June,1,1,1-1,7,Soil Inversion,Richardia spp.,3
2024,June,1,1,1-1,8,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,8,Soil Inversion,Bare Ground,0
2024,June,1,1,1-1,8,Soil Inversion,Bidens alba,0
2024,June,1,1,1-1,8,Soil Inversion,Cynodon dactylon,3
2024,June,1,1,1-1,8,Soil Inversion,Cyperus spp.,2
2024,June,1,1,1-1,8,Soil Inversion,Erigeron canadensis,0
2024,June,1,1,1-1,8,Soil Inversion,Eupatorium capilifolium,4
2024,June,1,1,1-1,8,Soil Inversion,Indigofera hirsuta,0
2024,June,1,1,1-1,8,Soil Inversion,Lactuca canadensis,0
2024,June,1,1,1-1,8,Soil Inversion,Oenethra laciniata,3
2024,June,1,1,1-1,8,Soil Inversion,Oxalis corniculata,2
2024,June,1,1,1-1,8,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,8,Soil Inversion,Paspalum setaceum,0
2024,June,1,1,1-1,8,Soil Inversion,Richardia spp.,2
2024,June,1,1,1-1,9,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,9,Soil Inversion,Bare Ground,0
2024,June,1,1,1-1,9,Soil Inversion,Bidens alba,4
2024,June,1,1,1-1,9,Soil Inversion,Cynodon dactylon,4
2024,June,1,1,1-1,9,Soil Inversion,Cyperus spp.,2
2024,June,1,1,1-1,9,Soil Inversion,Erigeron canadensis,2
2024,June,1,1,1-1,9,Soil Inversion,Indigofera hirsuta,2
2024,June,1,1,1-1,9,Soil Inversion,Lactuca canadensis,0
2024,June,1,1,1-1,9,Soil Inversion,Oenethra laciniata,4
2024,June,1,1,1-1,9,Soil Inversion,Oxalis corniculata,0
2024,June,1,1,1-1,9,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,9,Soil Inversion,Paspalum setaceum,2
2024,June,1,1,1-1,9,Soil Inversion,Richardia spp.,4
2024,June,1,1,1-1,10,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,10,Soil Inversion,Bare Ground,0
2024,June,1,1,1-1,10,Soil Inversion,Bidens alba,3
2024,June,1,1,1-1,10,Soil Inversion,Cynodon dactylon,4
2024,June,1,1,1-1,10,Soil Inversion,Cyperus spp.,2
2024,June,1,1,1-1,10,Soil Inversion,Erigeron canadensis,2
2024,June,1,1,1-1,10,Soil Inversion,Indigofera hirsuta,0
2024,June,1,1,1-1,10,Soil Inversion,Lactuca canadensis,1
2024,June,1,1,1-1,10,Soil Inversion,Oenethra laciniata,2
2024,June,1,1,1-1,10,Soil Inversion,Oxalis corniculata,0
2024,June,1,1,1-1,10,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,10,Soil Inversion,Paspalum setaceum,0
2024,June,1,1,1-1,10,Soil Inversion,Richardia spp.,4
,June,1,1,1-1,10,Soil Inversion,Stachys floridana,4
2024,June,1,2,1-2,1,Control,Androppogon virginicus,0
2024,June,1,2,1-2,1,Control,Bare Ground,0
2024,June,1,2,1-2,1,Control,Cynodon dactylon,4
2024,June,1,2,1-2,1,Control,Cyperus spp.,2
2024,June,1,2,1-2,1,Control,Erigeron canadensis,0
2024,June,1,2,1-2,1,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,1,Control,Lactuca canadensis,2
2024,June,1,2,1-2,1,Control,Oenethra laciniata,3
2024,June,1,2,1-2,1,Control,Oxalis corniculata,0
2024,June,1,2,1-2,1,Control,Paspalum notatum,9
2024,June,1,2,1-2,1,Control,Paspalum setaceum,0
2024,June,1,2,1-2,1,Control,Richardia spp.,3
2024,June,1,2,1-2,2,Control,Androppogon virginicus,0
2024,June,1,2,1-2,2,Control,Bare Ground,0
2024,June,1,2,1-2,2,Control,Bidens alba,5
2024,June,1,2,1-2,2,Control,Cynodon dactylon,3
2024,June,1,2,1-2,2,Control,Cyperus spp.,2
2024,June,1,2,1-2,2,Control,Erigeron canadensis,0
2024,June,1,2,1-2,2,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,2,Control,Lactuca canadensis,0
2024,June,1,2,1-2,2,Control,Oenethra laciniata,0
2024,June,1,2,1-2,2,Control,Oxalis corniculata,0
2024,June,1,2,1-2,2,Control,Paspalum notatum,9
2024,June,1,2,1-2,2,Control,Paspalum setaceum,0
2024,June,1,2,1-2,2,Control,Richardia spp.,4
2024,June,1,2,1-2,3,Control,Androppogon virginicus,0
2024,June,1,2,1-2,3,Control,Bare Ground,0
2024,June,1,2,1-2,3,Control,Bidens alba,4
2024,June,1,2,1-2,3,Control,Cynodon dactylon,5
2024,June,1,2,1-2,3,Control,Cyperus spp.,1
2024,June,1,2,1-2,3,Control,Erigeron canadensis,0
2024,June,1,2,1-2,3,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,3,Control,Lactuca canadensis,0
2024,June,1,2,1-2,3,Control,Oenethra laciniata,3
2024,June,1,2,1-2,3,Control,Oxalis corniculata,2
2024,June,1,2,1-2,3,Control,Paspalum notatum,9
2024,June,1,2,1-2,3,Control,Paspalum setaceum,2
2024,June,1,2,1-2,3,Control,Richardia spp.,4
2024,June,1,2,1-2,4,Control,Androppogon virginicus,0
2024,June,1,2,1-2,4,Control,Bare Ground,2
2024,June,1,2,1-2,4,Control,Bidens alba,4
2024,June,1,2,1-2,4,Control,Cynodon dactylon,4
2024,June,1,2,1-2,4,Control,Cyperus spp.,2
2024,June,1,2,1-2,4,Control,Erigeron canadensis,0
2024,June,1,2,1-2,4,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,4,Control,Lactuca canadensis,0
2024,June,1,2,1-2,4,Control,Oenethra laciniata,4
2024,June,1,2,1-2,4,Control,Oxalis corniculata,0
2024,June,1,2,1-2,4,Control,Paspalum notatum,9
2024,June,1,2,1-2,4,Control,Paspalum setaceum,0
2024,June,1,2,1-2,4,Control,Richardia spp.,4
2024,June,1,2,1-2,5,Control,Androppogon virginicus,0
2024,June,1,2,1-2,5,Control,Bare Ground,1
2024,June,1,2,1-2,5,Control,Cynodon dactylon,3
2024,June,1,2,1-2,5,Control,Cyperus spp.,2
2024,June,1,2,1-2,5,Control,Erigeron canadensis,0
2024,June,1,2,1-2,5,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,5,Control,Lactuca canadensis,0
2024,June,1,2,1-2,5,Control,Oenethra laciniata,0
2024,June,1,2,1-2,5,Control,Oxalis corniculata,2
2024,June,1,2,1-2,5,Control,Paspalum notatum,9
2024,June,1,2,1-2,5,Control,Paspalum setaceum,0
2024,June,1,2,1-2,5,Control,Richardia spp.,2
2024,June,1,2,1-2,6,Control,Androppogon virginicus,0
2024,June,1,2,1-2,6,Control,Bare Ground,0
2024,June,1,2,1-2,6,Control,Cynodon dactylon,0
2024,June,1,2,1-2,6,Control,Cyperus spp.,0
2024,June,1,2,1-2,6,Control,Erigeron canadensis,2
2024,June,1,2,1-2,6,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,6,Control,Lactuca canadensis,0
2024,June,1,2,1-2,6,Control,Oenethra laciniata,0
2024,June,1,2,1-2,6,Control,Oxalis corniculata,2
2024,June,1,2,1-2,6,Control,Paspalum notatum,9
2024,June,1,2,1-2,6,Control,Paspalum setaceum,0
2024,June,1,2,1-2,6,Control,Richardia spp.,1
2024,June,1,2,1-2,7,Control,Androppogon virginicus,0
2024,June,1,2,1-2,7,Control,Bare Ground,0
2024,June,1,2,1-2,7,Control,Cynodon dactylon,0
2024,June,1,2,1-2,7,Control,Cyperus spp.,0
2024,June,1,2,1-2,7,Control,Erigeron canadensis,0
2024,June,1,2,1-2,7,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,7,Control,Lactuca canadensis,0
2024,June,1,2,1-2,7,Control,Oenethra laciniata,3
2024,June,1,2,1-2,7,Control,Oxalis corniculata,0
2024,June,1,2,1-2,7,Control,Paspalum notatum,9
2024,June,1,2,1-2,7,Control,Paspalum setaceum,0
2024,June,1,2,1-2,7,Control,Polypremum procumbers,3
2024,June,1,2,1-2,7,Control,Richardia spp.,4
2024,June,1,2,1-2,8,Control,Androppogon virginicus,0
2024,June,1,2,1-2,8,Control,Bare Ground,2
2024,June,1,2,1-2,8,Control,Cynodon dactylon,3
2024,June,1,2,1-2,8,Control,Cyperus spp.,0
2024,June,1,2,1-2,8,Control,Erigeron canadensis,0
2024,June,1,2,1-2,8,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,8,Control,Lactuca canadensis,0
2024,June,1,2,1-2,8,Control,Oenethra laciniata,2
2024,June,1,2,1-2,8,Control,Oxalis corniculata,2
2024,June,1,2,1-2,8,Control,Paspalum notatum,9
2024,June,1,2,1-2,8,Control,Paspalum setaceum,0
2024,June,1,2,1-2,8,Control,Richardia spp.,2
2024,June,1,2,1-2,9,Control,Androppogon virginicus,0
2024,June,1,2,1-2,9,Control,Bare Ground,2
2024,June,1,2,1-2,9,Control,Cynodon dactylon,0
2024,June,1,2,1-2,9,Control,Cyperus spp.,0
2024,June,1,2,1-2,9,Control,Erigeron canadensis,0
2024,June,1,2,1-2,9,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,9,Control,Lactuca canadensis,0
2024,June,1,2,1-2,9,Control,Oenethra laciniata,0
2024,June,1,2,1-2,9,Control,Oxalis corniculata,0
2024,June,1,2,1-2,9,Control,Paspalum notatum,9
2024,June,1,2,1-2,9,Control,Paspalum setaceum,0
2024,June,1,2,1-2,9,Control,Richardia spp.,0
2024,June,1,2,1-2,10,Control,Androppogon virginicus,0
2024,June,1,2,1-2,10,Control,Bare Ground,2
2024,June,1,2,1-2,10,Control,Cynodon dactylon,0
2024,June,1,2,1-2,10,Control,Cyperus spp.,0
2024,June,1,2,1-2,10,Control,Erigeron canadensis,0
2024,June,1,2,1-2,10,Control,Indigofera hirsuta,0
2024,June,1,2,1-2,10,Control,Lactuca canadensis,0
2024,June,1,2,1-2,10,Control,Oenethra laciniata,3
2024,June,1,2,1-2,10,Control,Oxalis corniculata,0
2024,June,1,2,1-2,10,Control,Paspalum notatum,9
2024,June,1,2,1-2,10,Control,Paspalum setaceum,0
2024,June,1,2,1-2,10,Control,Richardia spp.,5
2024,June,1,3,1-3,1,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,1,Soil Inversion,Bare Ground,1
2024,June,1,3,1-3,1,Soil Inversion,Cynodon dactylon,2
2024,June,1,3,1-3,1,Soil Inversion,Cyperus spp.,2
2024,June,1,3,1-3,1,Soil Inversion,Erigeron canadensis,2
2024,June,1,3,1-3,1,Soil Inversion,Indigofera hirsuta,2
2024,June,1,3,1-3,1,Soil Inversion,Lactuca canadensis,1
2024,June,1,3,1-3,1,Soil Inversion,Oenethra laciniata,3
2024,June,1,3,1-3,1,Soil Inversion,Oxalis corniculata,3
2024,June,1,3,1-3,1,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,1,Soil Inversion,Paspalum setaceum,3
2024,June,1,3,1-3,1,Soil Inversion,Richardia spp.,2
2024,June,1,3,1-3,2,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,2,Soil Inversion,Bare Ground,1
2024,June,1,3,1-3,2,Soil Inversion,Cynodon dactylon,3
2024,June,1,3,1-3,2,Soil Inversion,Cyperus spp.,3
2024,June,1,3,1-3,2,Soil Inversion,Erigeron canadensis,0
2024,June,1,3,1-3,2,Soil Inversion,Indigofera hirsuta,0
2024,June,1,3,1-3,2,Soil Inversion,Lactuca canadensis,0
2024,June,1,3,1-3,2,Soil Inversion,Oenethra laciniata,0
2024,June,1,3,1-3,2,Soil Inversion,Oxalis corniculata,3
2024,June,1,3,1-3,2,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,2,Soil Inversion,Paspalum setaceum,0
2024,June,1,3,1-3,2,Soil Inversion,Richardia spp.,3
2024,June,1,3,1-3,3,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,3,Soil Inversion,Bare Ground,1
2024,June,1,3,1-3,3,Soil Inversion,Cynodon dactylon,3
2024,June,1,3,1-3,3,Soil Inversion,Cyperus spp.,3
2024,June,1,3,1-3,3,Soil Inversion,Erigeron canadensis,2
2024,June,1,3,1-3,3,Soil Inversion,Indigofera hirsuta,0
2024,June,1,3,1-3,3,Soil Inversion,Lactuca canadensis,0
2024,June,1,3,1-3,3,Soil Inversion,Oenethra laciniata,4
2024,June,1,3,1-3,3,Soil Inversion,Oxalis corniculata,3
2024,June,1,3,1-3,3,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,3,Soil Inversion,Paspalum setaceum,3
2024,June,1,3,1-3,3,Soil Inversion,Richardia spp.,0
2024,June,1,3,1-3,4,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,4,Soil Inversion,Bare Ground,1
2024,June,1,3,1-3,4,Soil Inversion,Cynodon dactylon,4
2024,June,1,3,1-3,4,Soil Inversion,Cyperus spp.,2
2024,June,1,3,1-3,4,Soil Inversion,Erigeron canadensis,0
2024,June,1,3,1-3,4,Soil Inversion,Indigofera hirsuta,2
2024,June,1,3,1-3,4,Soil Inversion,Lactuca canadensis,0
2024,June,1,3,1-3,4,Soil Inversion,Oenethra laciniata,0
2024,June,1,3,1-3,4,Soil Inversion,Oxalis corniculata,0
2024,June,1,3,1-3,4,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,4,Soil Inversion,Paspalum setaceum,0
2024,June,1,3,1-3,4,Soil Inversion,Richardia spp.,3
2024,June,1,3,1-3,5,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,5,Soil Inversion,Bare Ground,3
2024,June,1,3,1-3,5,Soil Inversion,Cynodon dactylon,4
2024,June,1,3,1-3,5,Soil Inversion,Cyperus spp.,0
2024,June,1,3,1-3,5,Soil Inversion,Erigeron canadensis,0
2024,June,1,3,1-3,5,Soil Inversion,Indigofera hirsuta,0
2024,June,1,3,1-3,5,Soil Inversion,Lactuca canadensis,0
2024,June,1,3,1-3,5,Soil Inversion,Oenethra laciniata,0
2024,June,1,3,1-3,5,Soil Inversion,Oxalis corniculata,0
2024,June,1,3,1-3,5,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,5,Soil Inversion,Paspalum setaceum,0
2024,June,1,3,1-3,5,Soil Inversion,Richardia spp.,4
2024,June,1,3,1-3,5,Soil Inversion,Taraxacum spp.,4
2024,June,1,3,1-3,6,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,6,Soil Inversion,Bare Ground,2
2024,June,1,3,1-3,6,Soil Inversion,Cynodon dactylon,4
2024,June,1,3,1-3,6,Soil Inversion,Cyperus spp.,0
2024,June,1,3,1-3,6,Soil Inversion,Erigeron canadensis,0
2024,June,1,3,1-3,6,Soil Inversion,Indigofera hirsuta,0
2024,June,1,3,1-3,6,Soil Inversion,Lactuca canadensis,0
2024,June,1,3,1-3,6,Soil Inversion,Oenethra laciniata,4
2024,June,1,3,1-3,6,Soil Inversion,Oxalis corniculata,0
2024,June,1,3,1-3,6,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,6,Soil Inversion,Paspalum setaceum,0
2024,June,1,3,1-3,6,Soil Inversion,Richardia spp.,5
2024,June,1,3,1-3,7,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,7,Soil Inversion,Bare Ground,1
2024,June,1,3,1-3,7,Soil Inversion,Cynodon dactylon,3
2024,June,1,3,1-3,7,Soil Inversion,Cyperus spp.,2
2024,June,1,3,1-3,7,Soil Inversion,Erigeron canadensis,0
2024,June,1,3,1-3,7,Soil Inversion,Indigofera hirsuta,0
2024,June,1,3,1-3,7,Soil Inversion,Lactuca canadensis,0
2024,June,1,3,1-3,7,Soil Inversion,Oenethra laciniata,0
2024,June,1,3,1-3,7,Soil Inversion,Oxalis corniculata,2
2024,June,1,3,1-3,7,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,7,Soil Inversion,Paspalum setaceum,0
2024,June,1,3,1-3,7,Soil Inversion,Pluchea baccharis,4
2024,June,1,3,1-3,7,Soil Inversion,Richardia spp.,2
2024,June,1,3,1-3,8,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,8,Soil Inversion,Bare Ground,0
2024,June,1,3,1-3,8,Soil Inversion,Cynodon dactylon,4
2024,June,1,3,1-3,8,Soil Inversion,Cyperus spp.,2
2024,June,1,3,1-3,8,Soil Inversion,Erigeron canadensis,2
2024,June,1,3,1-3,8,Soil Inversion,Indigofera hirsuta,2
2024,June,1,3,1-3,8,Soil Inversion,Lactuca canadensis,0
2024,June,1,3,1-3,8,Soil Inversion,Oenethra laciniata,0
2024,June,1,3,1-3,8,Soil Inversion,Oxalis corniculata,4
2024,June,1,3,1-3,8,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,8,Soil Inversion,Paspalum setaceum,0
2024,June,1,3,1-3,8,Soil Inversion,Richardia spp.,4
2024,June,1,3,1-3,9,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,9,Soil Inversion,Bare Ground,1
2024,June,1,3,1-3,9,Soil Inversion,Cynodon dactylon,3
2024,June,1,3,1-3,9,Soil Inversion,Cyperus spp.,0
2024,June,1,3,1-3,9,Soil Inversion,Erigeron canadensis,0
2024,June,1,3,1-3,9,Soil Inversion,Indigofera hirsuta,0
2024,June,1,3,1-3,9,Soil Inversion,Lactuca canadensis,0
2024,June,1,3,1-3,9,Soil Inversion,Oenethra laciniata,0
2024,June,1,3,1-3,9,Soil Inversion,Oxalis corniculata,4
2024,June,1,3,1-3,9,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,9,Soil Inversion,Paspalum setaceum,0
2024,June,1,3,1-3,9,Soil Inversion,Richardia spp.,3
2024,June,1,3,1-3,10,Soil Inversion,Androppogon virginicus,0
2024,June,1,3,1-3,10,Soil Inversion,Bare Ground,2
2024,June,1,3,1-3,10,Soil Inversion,Cynodon dactylon,4
2024,June,1,3,1-3,10,Soil Inversion,Cyperus spp.,2
2024,June,1,3,1-3,10,Soil Inversion,Erigeron canadensis,2
2024,June,1,3,1-3,10,Soil Inversion,Indigofera hirsuta,2
2024,June,1,3,1-3,10,Soil Inversion,Lactuca canadensis,0
2024,June,1,3,1-3,10,Soil Inversion,Oenethra laciniata,2
2024,June,1,3,1-3,10,Soil Inversion,Oxalis corniculata,4
2024,June,1,3,1-3,10,Soil Inversion,Paspalum notatum,9
2024,June,1,3,1-3,10,Soil Inversion,Paspalum setaceum,0
2024,June,1,3,1-3,10,Soil Inversion,Richardia spp.,3
2024,June,1,4,1-4,1,Control,Androppogon virginicus,0
2024,June,1,4,1-4,1,Control,Bare Ground,0
2024,June,1,4,1-4,1,Control,Cynodon dactylon,0
2024,June,1,4,1-4,1,Control,Cyperus spp.,2
2024,June,1,4,1-4,1,Control,Erigeron canadensis,2
2024,June,1,4,1-4,1,Control,Indigofera hirsuta,5
2024,June,1,4,1-4,1,Control,Lactuca canadensis,0
2024,June,1,4,1-4,1,Control,Oenethra laciniata,0
2024,June,1,4,1-4,1,Control,Oxalis corniculata,0
2024,June,1,4,1-4,1,Control,Paspalum notatum,9
2024,June,1,4,1-4,1,Control,Paspalum setaceum,0
2024,June,1,4,1-4,1,Control,Richardia spp.,2
2024,June,1,4,1-4,2,Control,Androppogon virginicus,0
2024,June,1,4,1-4,2,Control,Bare Ground,0
2024,June,1,4,1-4,2,Control,Bidens alba,0
2024,June,1,4,1-4,2,Control,Cynodon dactylon,4
2024,June,1,4,1-4,2,Control,Cyperus spp.,0
2024,June,1,4,1-4,2,Control,Erigeron canadensis,5
2024,June,1,4,1-4,2,Control,Indigofera hirsuta,4
2024,June,1,4,1-4,2,Control,Lactuca canadensis,0
2024,June,1,4,1-4,2,Control,Oenethra laciniata,0
2024,June,1,4,1-4,2,Control,Oxalis corniculata,5
2024,June,1,4,1-4,2,Control,Paspalum notatum,9
2024,June,1,4,1-4,2,Control,Paspalum setaceum,0
2024,June,1,4,1-4,2,Control,Richardia spp.,0
2024,June,1,4,1-4,3,Control,Androppogon virginicus,0
2024,June,1,4,1-4,3,Control,Bare Ground,2
2024,June,1,4,1-4,3,Control,Bidens alba,0
2024,June,1,4,1-4,3,Control,Cynodon dactylon,4
2024,June,1,4,1-4,3,Control,Cyperus spp.,2
2024,June,1,4,1-4,3,Control,Erigeron canadensis,4
2024,June,1,4,1-4,3,Control,Indigofera hirsuta,0
2024,June,1,4,1-4,3,Control,Lactuca canadensis,0
2024,June,1,4,1-4,3,Control,Oenethra laciniata,0
2024,June,1,4,1-4,3,Control,Oxalis corniculata,3
,June,1,4,1-4,3,Control,Paspalum notatum,9
2024,June,1,4,1-4,3,Control,Paspalum setaceum,0
2024,June,1,4,1-4,3,Control,Richardia spp.,3
2024,June,1,4,1-4,4,Control,Androppogon virginicus,0
2024,June,1,4,1-4,4,Control,Bare Ground,0
2024,June,1,4,1-4,4,Control,Cynodon dactylon,3
2024,June,1,4,1-4,4,Control,Cyperus spp.,2
2024,June,1,4,1-4,4,Control,Erigeron canadensis,4
2024,June,1,4,1-4,4,Control,Indigofera hirsuta,0
2024,June,1,4,1-4,4,Control,Lactuca canadensis,0
2024,June,1,4,1-4,4,Control,Oenethra laciniata,2
2024,June,1,4,1-4,4,Control,Oxalis corniculata,2
2024,June,1,4,1-4,4,Control,Paspalum notatum,9
2024,June,1,4,1-4,4,Control,Paspalum setaceum,0
2024,June,1,4,1-4,4,Control,Richardia spp.,2
2024,June,1,4,1-4,5,Control,Androppogon virginicus,2
2024,June,1,4,1-4,5,Control,Cynodon dactylon,2
2024,June,1,4,1-4,5,Control,Cyperus spp.,2
2024,June,1,4,1-4,5,Control,Erigeron canadensis,2
