Month,Block,Plot,Sample,Treatment,Ambrosia artemisiifolia,Bulbostylis spp.,Cyperus spp.,Dichondra spp.,Digitaria spp.,Erigeron canadensis,Gamochaeta spp.,Oldenlandia corymbosa,Lepidium virginicum,Linaria canadensis,Oenothera laciniata,Oxalis corniculata,Paspalum setaceum,Portulaca spp.,Richardia spp.,Rumex hastatulus,Geranium carolinianum,Trifolium repens,Triodanis perfoliata
Post-Treatment,1,6,2,Fill Sand,0,8,6,0,0,6,2,4,0,8,4,4,0,0,5,1,5,0,0
Post-Treatment,1,6,3,Fill Sand,0,7,8,0,4,8,2,1,6,14,12,5,0,5,0,4,4,0,0
Post-Treatment,1,6,4,Fill Sand,0,4,0,0,0,4,0,5,3,18,7,0,0,5,0,0,0,0,0
Post-Treatment,1,7,1,Fill Sand,0,7,0,0,0,0,1,1,4,22,13,0,0,0,3,6,0,0,0
Post-Treatment,1,7,2,Fill Sand,0,10,0,0,0,0,0,1,3,20,10,2,2,7,4,0,0,0,0
Post-Treatment,1,7,3,Fill Sand,0,8,1,0,0,0,0,1,1,6,15,8,1,6,9,8,0,0,0
Post-Treatment,1,7,4,Fill Sand,0,9,5,0,7,0,2,0,6,15,8,0,0,4,4,6,0,0,0
Post-Treatment,1,8,1,Fill Sand,0,8,5,0,0,3,0,2,6,4,7,0,1,5,4,5,3,0,0
Post-Treatment,1,8,2,Fill Sand,0,6,1,0,0,9,2,2,6,10,1,9,3,4,6,0,0,0,0
Post-Treatment,1,8,3,Fill Sand,0,9,0,0,0,0,1,3,5,2,12,2,0,1,2,5,6,0,0
Post-Treatment,1,8,4,Fill Sand,0,4,6,0,0,4,0,1,0,8,8,3,2,0,0,0,0,0,0
Post-Treatment,1,9,1,Control,2,22,9,2,0,4,1,4,0,35,1,5,1,21,9,6,0,0,0
Post-Treatment,1,9,2,Control,3,11,0,5,8,8,2,3,0,9,22,2,1,1,10,0,7,0,19
Post-Treatment,1,9,3,Control,1,27,7,1,18,9,0,3,7,24,0,13,3,23,8,2,0,10,22
Post-Treatment,1,9,4,Control,2,25,12,5,3,10,1,0,1,16,0,13,1,12,9,15,4,17,23
Post-Treatment,1,10,1,Preemergent,4,29,13,5,7,5,2,5,1,14,8,18,3,22,5,7,5,14,1
Post-Treatment,1,10,2,Preemergent,3,18,14,4,21,18,1,4,3,10,18,5,4,7,23,0,0,0,5
Post-Treatment,1,10,3,Preemergent,2,28,9,1,5,16,2,4,2,18,14,23,1,8,14,0,0,15,5
Post-Treatment,1,10,4,Preemergent,2,14,12,4,7,18,1,0,2,14,10,19,0,6,11,3,6,7,20
Post-Treatment,1,11,1,Soil Inversion,0,3,0,0,2,0,2,0,0,28,0,21,0,0,0,0,0,0,0
Post-Treatment,1,11,2,Soil Inversion,0,7,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0
Post-Treatment,1,11,3,Soil Inversion,0,28,0,5,2,4,1,0,0,22,0,20,0,0,8,8,0,0,0
Post-Treatment,1,11,4,Soil Inversion,0,3,0,2,0,0,1,0,0,30,0,24,0,0,2,0,0,0,0
Post-Treatment,1,12,1,Preemergent,4,12,7,4,9,12,1,0,4,14,18,24,2,18,6,3,4,8,0
Post-Treatment,1,12,2,Preemergent,3,17,4,1,16,21,3,2,3,8,11,11,4,2,24,4,2,1,6
Post-Treatment,1,12,3,Preemergent,2,16,21,1,12,17,3,3,7,12,8,3,2,2,11,20,2,6,4
Post-Treatment,1,12,4,Preemergent,1,14,7,3,13,14,2,2,5,4,23,1,0,24,11,1,4,5,5
Post-Treatment,2,1,1,Soil Inversion,0,11,0,4,0,8,0,0,0,10,0,14,0,0,0,0,0,0,0
Post-Treatment,2,1,2,Soil Inversion,0,24,0,1,0,2,0,0,0,10,0,21,0,0,6,0,0,0,0
Post-Treatment,2,1,3,Soil Inversion,0,12,0,3,0,7,0,0,0,14,0,5,0,0,0,0,0,0,0
Post-Treatment,2,1,4,Soil Inversion,0,22,0,3,1,0,0,0,0,30,0,16,0,0,0,2,0,0,0
Post-Treatment,2,2,1,Control,4,14,7,3,14,19,1,4,2,12,11,8,3,9,12,4,5,11,10
Post-Treatment,2,2,2,Control,4,28,9,4,5,10,2,3,1,29,12,23,2,0,20,5,0,9,19
Post-Treatment,2,2,3,Control,4,14,15,3,21,17,1,1,5,20,8,19,2,11,24,2,4,6,11
Post-Treatment,2,2,4,Control,0,24,17,4,24,25,1,1,2,32,11,21,3,14,16,4,7,3,14
Post-Treatment,2,3,1,Soil Inversion,0,3,0,4,0,2,0,0,0,31,0,5,0,0,0,6,0,0,0
Post-Treatment,2,3,2,Soil Inversion,0,20,0,3,2,2,0,0,0,34,0,12,0,0,1,5,0,0,0
Post-Treatment,2,3,3,Soil Inversion,0,11,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0
Post-Treatment,2,3,4,Soil Inversion,0,10,0,3,0,1,0,0,0,25,0,4,0,0,6,3,0,0,0
Post-Treatment,2,4,1,Preemergent,2,11,24,2,14,12,0,2,2,12,11,24,1,19,19,0,2,6,2
Post-Treatment,2,4,2,Preemergent,4,14,18,2,25,19,2,2,6,14,22,9,3,24,12,10,2,3,13
Post-Treatment,2,4,3,Preemergent,2,10,9,2,18,14,3,3,4,17,14,4,1,18,1,9,3,1,14
Post-Treatment,2,4,4,Preemergent,4,13,8,3,24,18,1,2,5,12,12,3,1,19,7,3,1,2,8
Post-Treatment,2,5,1,Preemergent,1,12,11,3,8,16,2,3,1,20,12,11,1,14,16,5,6,5,1
Post-Treatment,2,5,2,Preemergent,2,8,8,4,14,9,1,5,5,13,12,3,2,10,23,0,1,2,2
Post-Treatment,2,5,3,Preemergent,4,28,10,2,18,17,2,4,0,23,7,20,1,21,15,2,4,3,5
Post-Treatment,2,5,4,Preemergent,2,19,15,3,8,8,1,4,7,13,8,9,1,18,12,2,8,5,4
Post-Treatment,2,6,1,Fill Sand,0,8,0,0,0,0,1,3,1,8,5,6,2,5,0,0,4,0,0
Post-Treatment,2,6,2,Fill Sand,0,5,0,0,4,10,2,0,4,7,2,5,3,7,0,0,0,0,0
Post-Treatment,2,6,3,Fill Sand,0,6,4,0,3,0,1,5,7,17,2,7,0,8,8,0,6,0,2
Post-Treatment,2,6,4,Fill Sand,0,11,3,0,0,8,1,5,2,32,7,4,2,0,5,0,1,0,0
Post-Treatment,2,7,1,Control,0,28,19,0,12,22,1,2,4,18,13,13,3,11,15,0,0,0,19
Post-Treatment,2,7,2,Control,0,2,12,0,9,13,0,4,1,30,13,19,3,2,15,0,5,3,9
Post-Treatment,2,7,3,Control,0,5,25,1,8,17,2,1,6,26,10,17,4,18,9,0,0,0,0
Post-Treatment,2,7,4,Control,0,7,17,0,0,24,2,2,3,5,8,25,4,19,10,0,3,7,0
Post-Treatment,2,8,1,Fill Sand,0,4,0,0,0,0,2,3,4,1,12,2,0,5,8,0,0,0,0
Post-Treatment,2,8,2,Fill Sand,0,5,0,0,0,0,0,2,4,2,16,6,0,3,0,1,0,0,0
Post-Treatment,2,8,3,Fill Sand,0,5,8,0,0,3,0,2,3,15,8,0,0,9,0,0,4,0,0
Post-Treatment,2,8,4,Fill Sand,0,3,5,0,0,3,0,2,1,2,2,2,3,7,0,0,0,0,0
Post-Treatment,2,9,1,Control,2,12,0,2,22,3,0,3,6,6,8,7,3,3,9,0,0,0,6
Post-Treatment,2,9,2,Control,7,19,2,0,0,1,2,2,7,22,1,8,4,9,24,8,1,0,4
Post-Treatment,2,9,3,Control,3,15,9,0,1,4,1,5,7,35,22,8,2,0,19,2,0,0,4
Post-Treatment,2,9,4,Control,7,15,0,2,5,6,1,1,6,31,20,14,1,8,20,0,0,0,0
Post-Treatment,2,10,1,Fill Sand,0,10,7,0,0,4,1,4,1,4,8,0,0,0,6,0,0,0,0
Post-Treatment,2,10,2,Fill Sand,0,4,2,0,7,0,3,4,7,6,13,5,0,0,8,8,0,0,0
Post-Treatment,2,10,3,Fill Sand,0,6,7,0,4,1,1,4,4,11,8,0,0,0,5,0,0,0,0
Post-Treatment,2,10,4,Fill Sand,0,16,0,0,3,0,1,4,6,3,20,0,0,3,0,0,0,0,0
Post-Treatment,2,11,1,Soil Inversion,0,1,0,5,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0
Post-Treatment,2,11,2,Soil Inversion,0,25,0,5,2,0,0,0,0,33,0,2,0,0,0,0,0,0,0
Post-Treatment,2,11,3,Soil Inversion,0,30,0,1,0,17,0,0,0,16,0,4,0,0,0,0,0,0,0
Post-Treatment,2,11,4,Soil Inversion,0,3,0,0,0,12,0,0,0,12,0,10,0,0,0,0,0,0,0
Post-Treatment,2,12,1,Preemergent,2,23,18,1,21,12,1,5,4,15,4,12,2,16,15,2,5,3,5
Post-Treatment,2,12,2,Preemergent,2,14,19,5,14,8,1,2,7,20,25,9,2,24,14,2,7,2,6
Post-Treatment,2,12,3,Preemergent,2,15,12,3,12,11,1,4,2,18,13,8,3,14,21,1,4,2,5
Post-Treatment,2,12,4,Preemergent,4,12,18,1,11,17,2,5,2,23,20,12,2,12,13,3,4,3,4
Pre-Treatment,1,1,1,Soil Inversion,0,7,4,3,14,5,1,1,5,14,11,5,4,16,3,0,0,8,0
Pre-Treatment,1,1,2,Soil Inversion,0,22,5,0,0,15,2,2,0,7,22,9,3,1,10,0,0,0,0
Pre-Treatment,1,1,3,Soil Inversion,0,21,0,3,16,7,1,5,4,4,23,11,1,7,4,0,0,0,0
Pre-Treatment,1,1,4,Soil Inversion,0,13,7,2,5,5,0,4,0,21,17,1,4,6,22,3,0,0,0
Pre-Treatment,1,2,1,Control,3,19,4,3,0,9,0,3,0,7,4,15,1,8,21,6,5,1,1
Pre-Treatment,1,2,2,Control,8,15,0,5,3,20,1,4,0,15,3,19,3,7,11,1,2,2,2
Pre-Treatment,1,2,3,Control,0,29,19,2,0,8,0,2,4,27,12,23,4,1,22,5,2,1,3
Pre-Treatment,1,2,4,Control,8,27,0,0,0,7,1,5,0,21,5,18,2,21,13,0,1,1,1
Pre-Treatment,1,3,1,Soil Inversion,2,23,14,4,8,33,1,5,5,10,12,21,0,7,1,0,0,0,9
Pre-Treatment,1,3,2,Soil Inversion,4,25,0,4,14,22,2,1,4,15,17,13,3,17,0,21,0,0,0
Pre-Treatment,1,3,3,Soil Inversion,2,20,9,0,3,5,1,0,4,35,17,22,4,12,25,15,0,0,7
Pre-Treatment,1,3,4,Soil Inversion,0,11,23,3,9,23,2,0,6,0,13,1,0,12,22,0,0,8,0
Pre-Treatment,1,4,1,Control,9,8,17,1,12,21,0,3,4,26,15,2,4,23,20,3,2,2,3
Pre-Treatment,1,4,2,Control,3,1,0,5,9,14,2,2,5,15,11,25,1,16,4,0,0,3,9
Pre-Treatment,1,4,3,Control,0,2,18,1,17,7,2,2,0,34,23,23,0,5,12,0,0,0,0
Pre-Treatment,1,4,4,Control,0,15,17,2,13,8,1,2,6,5,23,14,0,15,25,0,0,0,14
Pre-Treatment,1,5,1,Preemergent,3,7,4,2,0,4,0,4,0,6,25,2,3,19,17,11,0,0,0
Pre-Treatment,1,5,2,Preemergent,1,14,6,3,0,9,0,3,6,7,19,10,0,4,5,12,0,5,0
Pre-Treatment,1,5,3,Preemergent,9,9,22,3,4,8,0,5,0,25,22,13,2,1,8,0,0,0,21
Pre-Treatment,1,5,4,Preemergent,0,19,20,2,5,9,1,4,1,19,7,5,1,21,16,14,4,0,0
Pre-Treatment,1,6,1,Fill Sand,6,27,4,0,0,8,1,3,0,14,2,12,1,4,10,0,8,6,22
Pre-Treatment,1,6,2,Fill Sand,6,27,15,4,0,16,1,0,4,25,7,16,4,7,21,0,2,0,4
Pre-Treatment,1,6,3,Fill Sand,2,3,15,0,14,20,2,0,6,7,0,16,2,12,9,16,10,0,14
Pre-Treatment,1,6,4,Fill Sand,2,21,10,3,4,12,0,5,3,31,12,17,4,9,20,11,0,0,3
Pre-Treatment,1,7,1,Fill Sand,8,28,24,3,10,19,1,5,1,28,8,12,1,7,23,13,0,3,22
Pre-Treatment,1,7,2,Fill Sand,0,8,8,2,13,22,2,5,4,19,10,23,3,8,15,0,0,0,4
Pre-Treatment,1,7,3,Fill Sand,0,2,0,5,0,15,2,1,4,27,14,20,0,12,3,7,0,0,3
Pre-Treatment,1,7,4,Fill Sand,0,3,0,1,18,2,2,1,3,27,8,18,4,19,21,0,0,0,3
Pre-Treatment,1,8,1,Fill Sand,3,7,18,5,14,17,2,1,6,6,18,9,4,10,3,15,0,0,6
Pre-Treatment,1,8,2,Fill Sand,3,24,5,5,16,1,2,4,3,35,22,11,0,14,5,6,0,0,1
Pre-Treatment,1,8,3,Fill Sand,2,17,20,2,0,23,0,5,4,1,14,5,3,13,2,13,0,0,2
Pre-Treatment,1,8,4,Fill Sand,4,10,23,2,12,3,0,4,6,1,17,22,1,4,3,5,0,5,0
Pre-Treatment,1,9,1,Control,0,20,3,2,0,13,0,2,4,2,16,7,0,6,0,6,0,0,3
Pre-Treatment,1,9,2,Control,7,21,24,2,0,17,2,2,6,7,23,9,2,5,5,0,0,0,0
Pre-Treatment,1,9,3,Control,6,6,12,3,0,11,2,4,7,19,2,25,1,3,1,14,0,0,9
Pre-Treatment,1,9,4,Control,3,28,23,5,2,2,1,2,0,0,21,12,1,4,1,10,2,0,0
Pre-Treatment,1,10,1,Preemergent,6,16,7,2,0,7,1,4,1,7,6,0,3,1,12,16,0,6,0
Pre-Treatment,1,10,2,Preemergent,6,23,7,2,7,13,1,4,5,21,16,7,0,24,2,5,0,8,0
Pre-Treatment,1,10,3,Preemergent,0,2,3,4,8,5,0,4,3,21,8,18,1,0,9,0,0,4,0
Pre-Treatment,1,10,4,Preemergent,8,15,21,4,1,12,2,1,7,20,8,25,1,3,4,0,8,0,9
Pre-Treatment,1,11,1,Soil Inversion,8,28,9,0,13,4,1,3,1,19,0,10,2,25,15,18,2,3,0
Pre-Treatment,1,11,2,Soil Inversion,0,2,13,4,23,5,1,0,4,17,10,14,3,9,12,0,4,0,1
Pre-Treatment,1,11,3,Soil Inversion,0,26,14,0,11,28,2,2,1,23,1,10,3,6,10,16,0,0,0
Pre-Treatment,1,11,4,Soil Inversion,0,11,17,4,9,6,1,4,2,28,6,23,2,6,17,5,2,8,0
Pre-Treatment,1,12,1,Preemergent,3,20,17,1,10,24,2,2,0,26,9,7,2,21,8,0,6,0,0
Pre-Treatment,1,12,2,Preemergent,9,14,16,2,20,21,0,4,2,26,8,25,4,24,17,0,0,0,5
Pre-Treatment,1,12,3,Preemergent,0,1,20,1,5,12,2,0,4,14,16,15,1,17,23,1,0,0,9
Pre-Treatment,1,12,4,Preemergent,4,0,21,0,12,6,1,0,4,7,9,16,4,12,21,8,0,0,4
Pre-Treatment,2,1,1,Soil Inversion,4,25,18,1,23,2,2,1,5,34,13,3,3,12,21,5,0,0,7
Pre-Treatment,2,1,2,Soil Inversion,4,26,2,1,14,27,0,3,3,32,24,18,4,22,23,11,0,7,5
Pre-Treatment,2,1,3,Soil Inversion,4,19,8,1,24,3,0,5,2,35,8,25,4,7,24,7,0,3,9
Pre-Treatment,2,1,4,Soil Inversion,3,13,24,2,13,2,2,3,0,29,25,25,0,1,4,0,0,0,3
Pre-Treatment,2,2,1,Control,0,17,6,3,19,10,1,2,4,12,14,1,0,17,25,19,3,5,4
Pre-Treatment,2,2,2,Control,0,22,3,1,23,2,2,2,7,8,20,7,2,19,10,15,0,0,11
Pre-Treatment,2,2,3,Control,0,8,7,2,14,5,1,4,6,9,19,10,4,6,20,15,0,8,9
Pre-Treatment,2,2,4,Control,0,16,5,4,5,8,1,3,7,16,22,5,3,15,5,11,0,0,0
Pre-Treatment,2,3,1,Soil Inversion,0,18,9,2,14,34,1,2,0,4,9,5,1,1,14,14,4,3,0
Pre-Treatment,2,3,2,Soil Inversion,0,13,23,5,2,4,1,4,7,19,17,2,2,4,9,19,3,9,4
Pre-Treatment,2,3,3,Soil Inversion,9,4,8,3,25,13,0,3,1,29,5,20,3,19,14,0,0,8,0
Pre-Treatment,2,3,4,Soil Inversion,7,13,11,5,3,6,1,0,7,10,0,10,2,11,5,0,13,0,3
Pre-Treatment,2,4,1,Preemergent,1,22,20,4,4,12,1,3,2,0,4,14,3,3,17,11,0,0,1
Pre-Treatment,2,4,2,Preemergent,6,0,10,5,2,8,1,5,3,13,8,12,2,12,16,13,8,0,2
Pre-Treatment,2,4,3,Preemergent,1,24,7,0,6,0,2,0,1,24,7,12,3,4,18,8,0,0,6
Pre-Treatment,2,4,4,Preemergent,0,9,18,2,7,16,1,4,1,29,3,20,0,4,18,2,4,0,9
Pre-Treatment,2,5,1,Preemergent,1,3,16,1,11,18,2,1,3,21,8,21,2,3,13,0,0,0,8
Pre-Treatment,2,5,2,Preemergent,2,8,24,0,14,18,2,1,4,5,11,22,4,0,20,14,0,8,0
Pre-Treatment,2,5,3,Preemergent,0,0,21,0,6,24,2,0,6,20,22,16,0,14,4,0,0,0,12
Pre-Treatment,2,5,4,Preemergent,1,2,16,2,9,1,0,0,4,3,6,4,3,15,24,16,0,0,12
Pre-Treatment,2,6,1,Fill Sand,6,13,0,0,14,5,2,2,5,28,17,1,2,10,6,12,0,0,0
Pre-Treatment,2,6,2,Fill Sand,0,12,4,1,15,18,0,3,3,33,18,1,3,22,3,15,5,0,9
Pre-Treatment,2,6,3,Fill Sand,8,7,25,1,22,1,2,3,6,15,12,22,2,23,10,1,0,10,0
Pre-Treatment,2,6,4,Fill Sand,3,14,3,2,21,8,0,2,7,5,0,5,0,1,15,12,0,9,0
Pre-Treatment,2,7,1,Control,5,18,22,5,0,7,1,3,6,4,20,12,2,2,6,0,0,10,0
Pre-Treatment,2,7,2,Control,6,15,14,0,0,6,2,2,7,11,0,15,0,22,17,4,24,15,2
Pre-Treatment,2,7,3,Control,4,25,7,4,0,3,1,4,6,6,19,12,0,13,5,15,9,0,0
Pre-Treatment,2,7,4,Control,0,20,2,2,3,9,0,4,2,25,7,13,4,5,18,9,0,0,8
Pre-Treatment,2,8,1,Fill Sand,4,19,13,2,2,11,1,2,7,13,13,8,2,5,21,0,7,0,0
Pre-Treatment,2,8,2,Fill Sand,9,19,24,0,5,15,1,3,4,23,9,21,2,11,20,0,14,9,3
Pre-Treatment,2,8,3,Fill Sand,6,1,19,2,23,13,0,4,5,25,12,23,4,1,13,3,0,3,9
Pre-Treatment,2,8,4,Fill Sand,8,25,16,5,8,11,2,2,2,24,10,16,3,15,19,0,0,1,0
Pre-Treatment,2,9,1,Control,0,26,18,3,4,9,2,1,4,4,7,24,4,15,25,0,8,0,8
Pre-Treatment,2,9,2,Control,0,23,14,5,9,0,2,2,6,27,18,15,4,19,1,0,8,2,6
Pre-Treatment,2,9,3,Control,9,14,13,2,12,20,0,0,3,35,19,9,3,11,24,0,0,0,3
Pre-Treatment,2,9,4,Control,1,1,22,4,5,1,2,3,6,35,15,23,2,18,5,10,0,7,0
Pre-Treatment,2,10,1,Fill Sand,1,8,24,0,8,9,0,2,4,6,14,5,3,3,24,7,0,4,2
Pre-Treatment,2,10,2,Fill Sand,3,12,17,3,25,22,0,3,0,5,14,12,1,3,3,0,0,6,0
Pre-Treatment,2,10,3,Fill Sand,0,28,9,0,15,8,0,2,7,13,6,23,2,17,12,0,0,10,11
Pre-Treatment,2,10,4,Fill Sand,2,19,16,5,24,24,1,2,6,8,20,8,4,3,9,9,3,2,14
Pre-Treatment,2,11,1,Soil Inversion,3,15,23,3,17,22,0,4,2,4,2,8,3,0,13,0,0,12,3
Pre-Treatment,2,11,2,Soil Inversion,2,21,14,2,10,2,1,5,4,6,22,6,1,0,5,11,2,0,6
Pre-Treatment,2,11,3,Soil Inversion,0,20,7,3,7,23,0,4,2,19,3,16,1,8,15,0,0,4,0
Pre-Treatment,2,11,4,Soil Inversion,3,19,20,2,0,14,0,4,7,28,7,8,1,2,8,0,8,0,17
Pre-Treatment,2,12,1,Preemergent,0,3,7,1,8,18,2,4,1,17,6,18,2,0,14,0,0,0,16
Pre-Treatment,2,12,2,Preemergent,0,28,18,4,0,10,1,0,4,16,2,18,4,11,20,2,3,12,2
Pre-Treatment,2,12,3,Preemergent,0,24,15,5,10,1,1,1,0,20,3,10,3,14,12,16,3,0,1
Pre-Treatment,2,12,4,Preemergent,0,6,13,0,13,9,1,5,4,27,14,4,3,6,18,0,0,14,5
